ClassID,SchoolID,GradeLevelID,TeacherID,ClassName,RoomNumber,Subject,Period,MaxCapacity,AcademicYear,SchoolYear,IsActive
1,1,1,8,Grade 1 - Section 1 - Technology,101,Music,1,25,2025,2024-2025,1
2,1,1,12,Grade 1 - Section 2 - Language Arts,102,English,2,25,2025,2024-2025,1
3,1,1,4,Grade 1 - Section 3 - Technology,103,Science,3,25,2025,2024-2025,1
4,1,2,13,Grade 2 - Section 1 - English,201,Math,1,25,2025,2024-2025,1
5,1,2,14,Grade 2 - Section 2 - Science,202,Social Studies,2,25,2025,2024-2025,1
6,1,2,10,Grade 2 - Section 3 - PE,203,Art,3,25,2025,2024-2025,1
7,1,3,13,Grade 3 - Section 1 - Art,301,Art,1,25,2025,2024-2025,1
8,1,3,15,Grade 3 - Section 2 - PE,302,Social Studies,2,25,2025,2024-2025,1
9,1,3,3,Grade 3 - Section 3 - Social Studies,303,Science,3,25,2025,2024-2025,1
10,1,4,4,Grade 4 - Section 1 - Science,401,English,1,25,2025,2024-2025,1
11,1,4,6,Grade 4 - Section 2 - Language Arts,402,Language Arts,2,25,2025,2024-2025,1
12,1,4,11,Grade 4 - Section 3 - Music,403,English,3,25,2025,2024-2025,1
13,1,5,12,Grade 5 - Section 1 - Social Studies,501,Language Arts,1,25,2025,2024-2025,1
14,1,5,10,Grade 5 - Section 2 - Language Arts,502,PE,2,25,2025,2024-2025,1
15,1,5,4,Grade 5 - Section 3 - English,503,Science,3,25,2025,2024-2025,1
16,2,6,30,Period 1 - Grade 6 - PE,601,Math,1,30,2025,2024-2025,1
17,2,6,21,Period 2 - Grade 6 - Art,602,Science,2,30,2025,2024-2025,1
18,2,6,19,Period 3 - Grade 6 - Social Studies,603,Art,3,30,2025,2024-2025,1
19,2,6,24,Period 4 - Grade 6 - Technology,604,Math,4,30,2025,2024-2025,1
20,2,6,28,Period 5 - Grade 6 - PE,605,PE,5,30,2025,2024-2025,1
21,2,6,31,Period 6 - Grade 6 - Science,606,Math,6,30,2025,2024-2025,1
22,2,7,24,Period 1 - Grade 7 - Language Arts,701,Technology,1,30,2025,2024-2025,1
23,2,7,29,Period 2 - Grade 7 - Technology,702,Social Studies,2,30,2025,2024-2025,1
24,2,7,19,Period 3 - Grade 7 - Language Arts,703,English,3,30,2025,2024-2025,1
25,2,7,30,Period 4 - Grade 7 - Science,704,English,4,30,2025,2024-2025,1
26,2,7,18,Period 5 - Grade 7 - Math,705,Social Studies,5,30,2025,2024-2025,1
27,2,7,20,Period 6 - Grade 7 - Social Studies,706,Music,6,30,2025,2024-2025,1
28,2,8,23,Period 1 - Grade 8 - English,801,PE,1,30,2025,2024-2025,1
29,2,8,32,Period 2 - Grade 8 - English,802,Math,2,30,2025,2024-2025,1
30,2,8,19,Period 3 - Grade 8 - Social Studies,803,Language Arts,3,30,2025,2024-2025,1
31,2,8,30,Period 4 - Grade 8 - Science,804,English,4,30,2025,2024-2025,1
32,2,8,32,Period 5 - Grade 8 - Art,805,English,5,30,2025,2024-2025,1
33,2,8,18,Period 6 - Grade 8 - Language Arts,806,Math,6,30,2025,2024-2025,1
34,3,9,38,Period 1 - Grade 9 - Music,901,Music,1,32,2025,2024-2025,1
35,3,9,48,Period 2 - Grade 9 - Math,902,Music,2,32,2025,2024-2025,1
36,3,9,54,Period 3 - Grade 9 - Music,903,Science,3,32,2025,2024-2025,1
37,3,9,44,Period 4 - Grade 9 - Social Studies,904,Science,4,32,2025,2024-2025,1
38,3,9,41,Period 5 - Grade 9 - PE,905,Language Arts,5,32,2025,2024-2025,1
39,3,9,37,Period 6 - Grade 9 - Math,906,Social Studies,6,32,2025,2024-2025,1
40,3,9,53,Period 7 - Grade 9 - PE,907,Language Arts,7,32,2025,2024-2025,1
41,3,9,46,Period 8 - Grade 9 - Technology,908,Language Arts,8,32,2025,2024-2025,1
42,3,10,34,Period 1 - Grade 10 - English,1001,PE,1,32,2025,2024-2025,1
43,3,10,45,Period 2 - Grade 10 - Science,1002,Music,2,32,2025,2024-2025,1
44,3,10,39,Period 3 - Grade 10 - Technology,1003,Social Studies,3,32,2025,2024-2025,1
45,3,10,53,Period 4 - Grade 10 - Technology,1004,Math,4,32,2025,2024-2025,1
46,3,10,45,Period 5 - Grade 10 - Art,1005,Language Arts,5,32,2025,2024-2025,1
47,3,10,50,Period 6 - Grade 10 - Language Arts,1006,Art,6,32,2025,2024-2025,1
48,3,10,51,Period 7 - Grade 10 - Technology,1007,Art,7,32,2025,2024-2025,1
49,3,10,45,Period 8 - Grade 10 - PE,1008,Science,8,32,2025,2024-2025,1
50,3,11,33,Period 1 - Grade 11 - Art,1101,Social Studies,1,32,2025,2024-2025,1
51,3,11,33,Period 2 - Grade 11 - PE,1102,Math,2,32,2025,2024-2025,1
52,3,11,48,Period 3 - Grade 11 - Technology,1103,Art,3,32,2025,2024-2025,1
53,3,11,51,Period 4 - Grade 11 - Social Studies,1104,Science,4,32,2025,2024-2025,1
54,3,11,36,Period 5 - Grade 11 - Social Studies,1105,Social Studies,5,32,2025,2024-2025,1
55,3,11,41,Period 6 - Grade 11 - Technology,1106,Math,6,32,2025,2024-2025,1
56,3,11,40,Period 7 - Grade 11 - Music,1107,Art,7,32,2025,2024-2025,1
57,3,11,38,Period 8 - Grade 11 - Science,1108,Social Studies,8,32,2025,2024-2025,1
58,3,12,51,Period 1 - Grade 12 - Art,1201,Art,1,32,2025,2024-2025,1
59,3,12,51,Period 2 - Grade 12 - Math,1202,Art,2,32,2025,2024-2025,1
60,3,12,51,Period 3 - Grade 12 - Science,1203,Social Studies,3,32,2025,2024-2025,1
61,3,12,48,Period 4 - Grade 12 - Technology,1204,PE,4,32,2025,2024-2025,1
62,3,12,38,Period 5 - Grade 12 - Language Arts,1205,Math,5,32,2025,2024-2025,1
63,3,12,35,Period 6 - Grade 12 - Math,1206,Social Studies,6,32,2025,2024-2025,1
64,3,12,52,Period 7 - Grade 12 - Social Studies,1207,Math,7,32,2025,2024-2025,1
65,3,12,49,Period 8 - Grade 12 - Language Arts,1208,Math,8,32,2025,2024-2025,1
66,4,1,65,Grade 1 - Section 1 - Social Studies,101,Science,1,25,2025,2024-2025,1
67,4,1,65,Grade 1 - Section 2 - Science,102,Art,2,25,2025,2024-2025,1
68,4,1,56,Grade 1 - Section 3 - Math,103,Science,3,25,2025,2024-2025,1
69,4,2,73,Grade 2 - Section 1 - Science,201,English,1,25,2025,2024-2025,1
70,4,2,71,Grade 2 - Section 2 - Art,202,English,2,25,2025,2024-2025,1
71,4,2,66,Grade 2 - Section 3 - Music,203,English,3,25,2025,2024-2025,1
72,4,3,65,Grade 3 - Section 1 - PE,301,Art,1,25,2025,2024-2025,1
73,4,3,59,Grade 3 - Section 2 - Science,302,Music,2,25,2025,2024-2025,1
74,4,3,75,Grade 3 - Section 3 - Language Arts,303,Art,3,25,2025,2024-2025,1
75,4,4,60,Grade 4 - Section 1 - Technology,401,Art,1,25,2025,2024-2025,1
76,4,4,62,Grade 4 - Section 2 - Science,402,Music,2,25,2025,2024-2025,1
77,4,4,64,Grade 4 - Section 3 - PE,403,Science,3,25,2025,2024-2025,1
78,4,5,60,Grade 5 - Section 1 - Math,501,Music,1,25,2025,2024-2025,1
79,4,5,73,Grade 5 - Section 2 - Math,502,Science,2,25,2025,2024-2025,1
80,4,5,74,Grade 5 - Section 3 - Art,503,Social Studies,3,25,2025,2024-2025,1
81,5,6,94,Period 1 - Grade 6 - English,601,Language Arts,1,30,2025,2024-2025,1
82,5,6,80,Period 2 - Grade 6 - Art,602,English,2,30,2025,2024-2025,1
83,5,6,83,Period 3 - Grade 6 - Art,603,Art,3,30,2025,2024-2025,1
84,5,6,81,Period 4 - Grade 6 - English,604,Art,4,30,2025,2024-2025,1
85,5,6,90,Period 5 - Grade 6 - Math,605,PE,5,30,2025,2024-2025,1
86,5,6,82,Period 6 - Grade 6 - Social Studies,606,English,6,30,2025,2024-2025,1
87,5,7,87,Period 1 - Grade 7 - PE,701,English,1,30,2025,2024-2025,1
88,5,7,76,Period 2 - Grade 7 - Math,702,Music,2,30,2025,2024-2025,1
89,5,7,90,Period 3 - Grade 7 - Music,703,Science,3,30,2025,2024-2025,1
90,5,7,89,Period 4 - Grade 7 - Language Arts,704,Music,4,30,2025,2024-2025,1
91,5,7,87,Period 5 - Grade 7 - Technology,705,Music,5,30,2025,2024-2025,1
92,5,7,79,Period 6 - Grade 7 - Language Arts,706,Social Studies,6,30,2025,2024-2025,1
93,5,8,81,Period 1 - Grade 8 - Language Arts,801,English,1,30,2025,2024-2025,1
94,5,8,77,Period 2 - Grade 8 - PE,802,Math,2,30,2025,2024-2025,1
95,5,8,86,Period 3 - Grade 8 - PE,803,English,3,30,2025,2024-2025,1
96,5,8,78,Period 4 - Grade 8 - Art,804,Science,4,30,2025,2024-2025,1
97,5,8,88,Period 5 - Grade 8 - Science,805,English,5,30,2025,2024-2025,1
98,5,8,93,Period 6 - Grade 8 - English,806,Art,6,30,2025,2024-2025,1
