EnrollmentID,StudentID,ClassID,EnrollmentDate,WithdrawalDate,IsActive,EnrollmentStatus
1,1,3,2023-06-20,,1,Active
2,1,15,2023-06-20,,1,Active
3,1,5,2023-06-20,,1,Active
4,1,11,2023-06-20,,1,Active
5,1,2,2023-06-20,,1,Active
6,1,4,2023-06-20,,1,Active
7,2,2,2022-10-10,,1,Active
8,2,1,2022-10-10,,1,Active
9,2,13,2022-10-10,,1,Active
10,2,3,2022-10-10,,1,Active
11,2,15,2022-10-10,,1,Active
12,2,5,2022-10-10,,1,Active
13,2,7,2022-10-10,,1,Active
14,2,11,2022-10-10,,1,Active
15,3,13,2022-09-04,,1,Active
16,3,3,2022-09-04,,1,Active
17,3,9,2022-09-04,,1,Active
18,3,15,2022-09-04,,1,Active
19,3,1,2022-09-04,,1,Active
20,3,6,2022-09-04,,1,Active
21,4,11,2023-05-21,,1,Active
22,4,2,2023-05-21,,1,Active
23,4,12,2023-05-21,,1,Active
24,4,14,2023-05-21,,1,Active
25,4,7,2023-05-21,,1,Active
26,4,4,2023-05-21,,1,Active
27,5,3,2023-10-09,,1,Active
28,5,11,2023-10-09,,1,Active
29,5,15,2023-10-09,,1,Active
30,5,2,2023-10-09,,1,Active
31,5,8,2023-10-09,,1,Active
32,5,5,2023-10-09,,1,Active
33,5,9,2023-10-09,,1,Active
34,5,14,2023-10-09,,1,Active
35,6,4,2023-03-27,,1,Active
36,6,13,2023-03-27,,1,Active
37,6,2,2023-03-27,,1,Active
38,6,6,2023-03-27,,1,Active
39,6,14,2023-03-27,,1,Active
40,7,12,2022-09-19,,1,Active
41,7,2,2022-09-19,,1,Active
42,7,5,2022-09-19,,1,Active
43,7,3,2022-09-19,,1,Active
44,7,1,2022-09-19,,1,Active
45,7,11,2022-09-19,,1,Active
46,7,6,2022-09-19,,1,Active
47,7,15,2022-09-19,,1,Active
48,8,12,2023-12-05,,1,Active
49,8,13,2023-12-05,,1,Active
50,8,2,2023-12-05,,1,Active
51,8,10,2023-12-05,,1,Active
52,8,4,2023-12-05,,1,Active
53,9,13,2024-02-19,,1,Active
