AssessmentID,StudentID,ClassID,AssignmentName,AssessmentDate,AssessmentType,PointsEarned,PointsPossible,GradeLetter,GradePercentage,Comments
683547,5500,309,Assignment 7,2025-02-13,Test,4,20,F,21.27,See me for help
683548,5500,309,Assignment 3,2024-12-20,Quiz,5,25,F,21.2,Needs review
683549,5500,309,Assignment 15,2025-01-29,Test,11,50,F,22.76,Excellent!
683550,5500,309,Assignment 4,2025-03-19,Classwork,45,100,F,45.79,Good work!
683551,5500,309,Assignment 3,2024-09-08,Classwork,9,50,F,19.07,Excellent!
683552,5500,309,Assignment 9,2024-10-20,Classwork,8,25,F,32.68,See me for help
683553,5500,309,Assignment 3,2025-03-10,Test,8,20,F,41.59,Excellent!
683554,5500,309,Assignment 9,2025-01-17,Test,6,25,F,27.55,Good work!
683555,5500,309,Assignment 3,2024-09-27,Classwork,38,100,F,38.38,Good work!
683556,5500,309,Assignment 2,2024-12-24,Test,11,25,F,45.35,Needs review
683557,5500,309,Assignment 7,2024-09-30,Test,19,100,F,19.83,Good work!
683558,5500,309,Assignment 2,2024-09-20,Test,27,100,F,27.97,Excellent!
683559,5500,309,Assignment 15,2025-02-25,Quiz,9,20,F,45.75,Needs review
683560,5500,309,Assignment 3,2025-02-03,Quiz,4,10,F,43.7,See me for help
683561,5500,309,Assignment 13,2024-10-31,Homework,15,50,F,31.25,Excellent!
683562,5500,309,Assignment 12,2024-10-29,Test,22,50,F,44.91,See me for help
683563,5500,309,Assignment 19,2025-01-14,Project,9,50,F,19.45,Excellent!
683564,5500,309,Assignment 10,2024-11-18,Quiz,7,25,F,29.7,Excellent!
683565,5500,309,Assignment 3,2024-12-03,Classwork,18,50,F,36.65,Needs review
683566,5500,309,Assignment 4,2025-03-11,Classwork,2,10,F,26.57,See me for help
683567,5500,309,Assignment 4,2024-12-27,Homework,5,20,F,27.03,See me for help
683568,5500,309,Assignment 11,2024-11-14,Classwork,3,10,F,30.34,Excellent!
683569,5500,309,Assignment 15,2024-11-30,Homework,8,25,F,33.11,Needs review
683570,5500,309,Assignment 7,2024-12-13,Homework,3,10,F,39.44,See me for help
683571,5500,309,Assignment 20,2025-02-14,Classwork,6,25,F,26.91,Good work!
683572,5500,302,Assignment 18,2024-11-24,Project,4,20,F,21.51,Needs review
