MetricID,StudentID,ClassID,ReportingPeriod,AcademicYear,OverallGrade,OverallPercentage,AttendancePercentage,AssignmentCompletionRate,BehaviorRating,TeacherComments,ParentContact,InterventionNeeded,InterventionType
1,1,3,Q1,2025,A,94.29,91.46,98.28,3,Average performance,1,0,
2,1,3,Q2,2025,A,94.29,91.46,82.4,1,Needs support,0,0,
3,1,15,Q1,2025,A,93.75,91.46,93.52,1,Average performance,0,0,
4,1,15,Q2,2025,A,93.75,91.46,85.05,5,Excellent work,1,0,
5,1,5,Q1,2025,A,95.02,91.46,87.11,3,Average performance,0,0,
6,1,5,Q2,2025,A,95.02,91.46,92.08,1,Needs support,0,0,
7,1,11,Q1,2025,A,93.34,91.46,94.57,5,Excellent work,1,0,
8,1,11,Q2,2025,A,93.34,91.46,82.26,2,Needs support,0,0,
9,1,2,Q1,2025,A,93.5,91.46,100.0,3,Good progress,1,0,
10,1,2,Q2,2025,A,93.5,91.46,84.01,3,Needs support,0,0,
11,1,4,Q1,2025,A,92.12,91.46,88.61,4,Needs support,1,0,
12,1,4,Q2,2025,A,92.12,91.46,83.86,2,Needs support,1,0,
13,2,2,Q1,2025,D,68.41,85.99,83.64,3,Average performance,1,1,Tutoring
14,2,2,Q2,2025,D,68.41,85.99,94.8,1,Good progress,1,1,Study Group
15,2,1,Q1,2025,C,71.4,85.99,94.41,4,Average performance,1,0,
16,2,1,Q2,2025,C,71.4,85.99,94.5,2,Average performance,0,0,
17,2,13,Q1,2025,D,68.99,85.99,95.57,2,Good progress,1,1,
18,2,13,Q2,2025,D,68.99,85.99,80.06,4,Average performance,1,1,Counseling
19,2,3,Q1,2025,C,70.19,85.99,78.6,2,Excellent work,1,0,
20,2,3,Q2,2025,C,70.19,85.99,93.47,3,Average performance,1,0,
21,2,15,Q1,2025,C,71.32,85.99,89.65,1,Average performance,0,0,
22,2,15,Q2,2025,C,71.32,85.99,76.82,1,Good progress,1,0,
23,2,5,Q1,2025,C,72.42,85.99,92.44,5,Excellent work,1,0,
24,2,5,Q2,2025,C,72.42,85.99,82.4,3,Needs support,1,0,
25,2,7,Q1,2025,D,69.75,85.99,77.32,2,Excellent work,1,1,Counseling
26,2,7,Q2,2025,D,69.75,85.99,93.47,4,Excellent work,1,1,Tutoring
27,2,11,Q1,2025,D,69.84,85.99,92.37,1,Needs support,1,1,Tutoring
28,2,11,Q2,2025,D,69.84,85.99,84.39,2,Good progress,1,1,Counseling
29,3,13,Q1,2025,C,76.0,90.38,96.81,5,Excellent work,0,0,
30,3,13,Q2,2025,C,76.0,90.38,91.45,1,Average performance,0,0,
31,3,3,Q1,2025,C,76.09,90.38,96.39,1,Good progress,0,0,
32,3,3,Q2,2025,C,76.09,90.38,92.86,1,Excellent work,0,0,
33,3,9,Q1,2025,C,78.93,90.38,88.85,4,Excellent work,0,0,
34,3,9,Q2,2025,C,78.93,90.38,80.67,2,Good progress,1,0,
35,3,15,Q1,2025,C,78.84,90.38,93.65,1,Average performance,1,0,
36,3,15,Q2,2025,C,78.84,90.38,84.67,1,Average performance,0,0,
37,3,1,Q1,2025,C,79.44,90.38,85.98,3,Average performance,1,0,
38,3,1,Q2,2025,C,79.44,90.38,82.51,1,Excellent work,1,0,
39,3,6,Q1,2025,C,76.78,90.38,96.68,1,Needs support,0,0,
40,3,6,Q2,2025,C,76.78,90.38,99.42,2,Excellent work,0,0,
41,4,11,Q1,2025,D,66.24,73.4,70.62,3,Needs support,1,1,Study Group
42,4,11,Q2,2025,D,66.24,73.4,77.89,1,Good progress,1,1,Tutoring
43,4,2,Q1,2025,D,67.62,73.4,65.92,4,Excellent work,1,1,
44,4,2,Q2,2025,D,67.62,73.4,69.15,5,Needs support,1,1,
45,4,12,Q1,2025,D,66.73,73.4,66.36,5,Needs support,1,1,Study Group
46,4,12,Q2,2025,D,66.73,73.4,79.18,1,Average performance,1,1,Counseling
47,4,14,Q1,2025,D,67.41,73.4,75.99,5,Average performance,1,1,Counseling
48,4,14,Q2,2025,D,67.41,73.4,78.53,2,Needs support,1,1,
49,4,7,Q1,2025,D,65.45,73.4,76.05,2,Average performance,1,1,Counseling
50,4,7,Q2,2025,D,65.45,73.4,78.76,5,Good progress,1,1,Tutoring
51,4,4,Q1,2025,D,66.69,73.4,80.38,2,Needs support,1,1,
52,4,4,Q2,2025,D,66.69,73.4,72.87,3,Excellent work,1,1,Counseling
53,5,3,Q1,2025,D,66.38,72.16,78.75,2,Needs support,1,1,Study Group
54,5,3,Q2,2025,D,66.38,72.16,76.65,4,Needs support,1,1,Study Group
55,5,11,Q1,2025,D,63.93,72.16,77.7,5,Excellent work,1,1,Tutoring
56,5,11,Q2,2025,D,63.93,72.16,78.34,2,Good progress,1,1,Tutoring
57,5,15,Q1,2025,C,70.4,72.16,64.95,4,Needs support,1,1,
58,5,15,Q2,2025,C,70.4,72.16,72.4,5,Average performance,1,1,
59,5,2,Q1,2025,D,65.88,72.16,70.57,5,Excellent work,1,1,Counseling
60,5,2,Q2,2025,D,65.88,72.16,68.34,1,Needs support,1,1,Counseling
61,5,8,Q1,2025,D,63.15,72.16,62.6,5,Good progress,1,1,Counseling
62,5,8,Q2,2025,D,63.15,72.16,66.77,1,Excellent work,1,1,Study Group
63,5,5,Q1,2025,D,67.92,72.16,79.24,3,Excellent work,1,1,
64,5,5,Q2,2025,D,67.92,72.16,67.53,4,Excellent work,1,1,Study Group
65,5,9,Q1,2025,D,65.48,72.16,81.64,2,Needs support,1,1,Counseling
66,5,9,Q2,2025,D,65.48,72.16,71.12,5,Average performance,1,1,Counseling
67,5,14,Q1,2025,D,64.83,72.16,63.01,2,Average performance,1,1,Tutoring
68,5,14,Q2,2025,D,64.83,72.16,79.18,1,Good progress,1,1,Tutoring
69,6,4,Q1,2025,B,80.49,88.66,91.01,3,Needs support,0,0,
70,6,4,Q2,2025,B,80.49,88.66,90.11,5,Excellent work,1,0,
71,6,13,Q1,2025,B,81.23,88.66,97.18,1,Excellent work,0,0,
72,6,13,Q2,2025,B,81.23,88.66,94.58,1,Needs support,0,0,
73,6,2,Q1,2025,B,81.12,88.66,90.99,5,Excellent work,0,0,
74,6,2,Q2,2025,B,81.12,88.66,90.14,1,Excellent work,1,0,
75,6,6,Q1,2025,B,82.59,88.66,97.65,3,Average performance,1,0,
76,6,6,Q2,2025,B,82.59,88.66,79.92,4,Needs support,1,0,
77,6,14,Q1,2025,B,82.54,88.66,86.64,1,Average performance,1,0,
78,6,14,Q2,2025,B,82.54,88.66,80.02,1,Excellent work,0,0,
79,7,12,Q1,2025,A,95.73,80.47,78.99,5,Average performance,0,0,
80,7,12,Q2,2025,A,95.73,80.47,85.48,1,Average performance,0,0,
81,7,2,Q1,2025,A,94.28,80.47,70.47,1,Needs support,1,0,
82,7,2,Q2,2025,A,94.28,80.47,80.16,3,Good progress,0,0,
83,7,5,Q1,2025,A,97.21,80.47,71.5,5,Average performance,1,0,
84,7,5,Q2,2025,A,97.21,80.47,79.05,2,Good progress,1,0,
85,7,3,Q1,2025,A,96.18,80.47,89.81,2,Needs support,0,0,
86,7,3,Q2,2025,A,96.18,80.47,72.44,2,Needs support,0,0,
87,7,1,Q1,2025,A,94.62,80.47,72.46,2,Good progress,0,0,
88,7,1,Q2,2025,A,94.62,80.47,86.18,4,Good progress,1,0,
89,7,11,Q1,2025,A,96.17,80.47,79.5,5,Average performance,0,0,
90,7,11,Q2,2025,A,96.17,80.47,71.51,3,Excellent work,0,0,
91,7,6,Q1,2025,A,96.5,80.47,83.61,2,Excellent work,1,0,
92,7,6,Q2,2025,A,96.5,80.47,85.28,3,Excellent work,0,0,
93,7,15,Q1,2025,A,97.98,80.47,76.68,1,Good progress,0,0,
94,7,15,Q2,2025,A,97.98,80.47,76.97,1,Good progress,0,0,
95,8,12,Q1,2025,B,83.8,79.65,70.25,3,Average performance,1,1,
96,8,12,Q2,2025,B,83.8,79.65,71.08,1,Needs support,1,1,Counseling
97,8,13,Q1,2025,B,83.05,79.65,85.23,4,Good progress,1,1,Study Group
98,8,13,Q2,2025,B,83.05,79.65,70.15,5,Good progress,1,1,
99,8,2,Q1,2025,B,86.38,79.65,78.3,1,Good progress,1,1,Tutoring
100,8,2,Q2,2025,B,86.38,79.65,74.16,3,Average performance,1,1,Counseling
101,8,10,Q1,2025,B,85.08,79.65,79.31,5,Excellent work,1,1,Study Group
102,8,10,Q2,2025,B,85.08,79.65,82.63,5,Good progress,1,1,
103,8,4,Q1,2025,B,89.06,79.65,87.7,1,Good progress,1,1,Study Group
104,8,4,Q2,2025,B,89.06,79.65,75.08,5,Average performance,1,1,
105,9,13,Q1,2025,D,65.83,58.43,49.65,3,Good progress,1,1,Tutoring
106,9,13,Q2,2025,D,65.83,58.43,64.63,1,Excellent work,1,1,Study Group
107,9,15,Q1,2025,D,60.84,58.43,64.62,5,Needs support,1,1,Tutoring
108,9,15,Q2,2025,D,60.84,58.43,65.55,3,Average performance,1,1,Counseling
